Species,Model,kap,v,z,p_Am,p_M,E_G,s_M,L_b,L_m,L_j,L_i,L_p,l_i,n_HE,n_OE,n_NE,n_CX,n_HX,n_OX,n_NX,n_CV,n_HV,n_OV,n_NV,n_CE,n_CP,n_HP,n_OP,n_NP,eta_PA,eta_XA,eta_VG,k_J,kap_R,E_Hb,E_Hp,E_Hj,n_NN,n_CN,n_HN,n_ON,mu_E,T_A,T_ref,p_T,L_s,L_x
Moniliformis_dubius,std,0.85699,0.014497,0.77781,87.5298775283259,96.4403,1827.8911,1,0.00369775580814567,0.77781,NaN,0.77781,0.274586845308423,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60232209286813e-06,0.002,0.95,1.56e-05,14.61,NaN,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Asplanchna_girodi,std,0.3111,0.172,0.02365,158.350851816136,2083,915.9,1,0.0136063222623951,0.02365,NaN,0.02365,0.021843699117177,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.59890287852769e-06,0.002,0.95,0.006749,0.1183,NaN,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Brachionus_plicatilis,std,0.36808,0.012596,0.0075842,99.7995684156162,4843.5201,1559.423,1,0.0038113563851706,0.0075842,NaN,0.0075842,0.00434179404257582,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,7.44047619047619e-07,2.72108843537415e-06,1.6098648352923e-06,0.002,0.95,0.0003132,0.0006225,NaN,1,0,3,0,550000,7300,293.15,0,NaN,NaN
Chiton_tuberculatus,abj,0.99746,0.025838,6.8032,204.171025765444,29.9348,2615.8463,1.29179583659793,0.0097905493455044,6.8032,0.0126473908825292,8.78834543554306,1.90697611776027,1.29179583659793,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,3.125e-06,9.52380952380952e-06,1.59952074340531e-06,0.002,0.95,6.271e-06,73.4,1.353e-05,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Lepidochitona_cinerea,abj,0.99843,0.029375,1.6622,116.284244303557,69.8482,2610.5464,1.10014838639054,0.0115101869665809,1.6622,0.0126629136183374,1.82866664785835,0.381327337234823,1.10014838639054,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,3.125e-06,9.52380952380952e-06,1.60276807123981e-06,0.002,0.95,6.32e-06,0.3248,8.429e-06,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Katharina_tunicata,abj,0.94276,0.016859,3.5787,50.9754832194832,13.4288,2618.2107,1.01994871125777,0.0122230688947185,3.5787,0.012466903366783,3.65009045297817,0.998104790352142,1.01994871125777,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,3.125e-06,9.52380952380952e-06,1.59807628103042e-06,0.002,0.95,0.000291,203.4,0.0003088,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Cryptochiton_stelleri,abj,0.68673,0.014111,5.8236,79.6366042549474,9.3909,2621.041,1.09483257764667,0.0106890976860924,5.8236,0.0117027723723816,6.37586699918315,1.52444484999177,1.09483257764667,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,3.125e-06,9.52380952380952e-06,1.59635061733488e-06,0.002,0.95,0.001462,5062,0.001919,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Aequiyoldia_eightsii,abj,0.99787,0.02012,0.36278,6.52943649974446,17.96,2353.8878,4.56565687248106,0.00631681994588381,0.36278,0.0288404323981499,1.65632900019868,0.741869854170104,4.56565687248106,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.59977479664453e-06,0.002,0.95,1.271e-06,3.241,0.0001223,1,0,3,0,550000,7051,293.15,0,NaN,NaN
Arca_noae,abj,0.98,0.002,0.13084,0.672557653061225,5.0375,2358.6004,21.4040759173664,0.00368409281540372,0.13084,0.0788546023075253,2.80050929302822,0.800076271064419,21.4040759173664,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.59657836764932e-06,0.00067227,0.95,2.42e-06,29.62,0.02413,1,0,3,0,550000,7051,293.15,0,NaN,NaN
Glycymeris_glycymeris,abj,0.98,0.02117,0.21143,0.403486108163265,1.8702,2306.6498,8.99650874724262,0.00400036805338695,0.21143,0.0359893461844856,1.90213184442951,0.473797701920417,8.99650874724262,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.63253666706105e-06,0.00026233,0.95,3.015e-06,5.763,0.002223,1,0,3,0,550000,7051,293.15,0,NaN,NaN
